<Instância> 	 <Semente> 	 <Melhor_Custo> 	 <Tempo_CPU>	 <Custo_Financeiro> 	 <Tempo_Workflow>
2528          2           0.000007701          1.800170000                0.001094483             FX
========================================================================
025_T76_C5_D220_VM3.txt	 5	 0.300467695624696	 191.178960	 0.002449	 473.265049
<task_id>	 <FX/VM id>	    <Custo_fin>	      <Tempo_workflow>	          <Custo_normalizado>
10           1            0.000000747        0.144657770                0.000091809             VM
25           1            0.000000784        0.151659194                0.000096253             VM
40           1            0.000000755        0.146165224                0.000092766             VM
35           1            0.000001092        0.211276764                0.000134090             VM
739           1            0.000001891        0.365919972                0.000232236             VM
27           1            0.000000767        0.148405605                0.000094188             VM
23           1            0.000000970        0.187671500                0.000119108             VM
34           1            0.000000815        0.157794215                0.000100146             VM
29           1            0.000000787        0.152233296                0.000096617             VM
732           1            0.000000773        0.149535798                0.000094905             VM
740          3           0.000002532          0.279800000                0.000210156             FX
734           1            0.000000852        0.164844208                0.000104621             VM
9           1            0.000000901        0.174316137                0.000110632             VM
30           1            0.000000722        0.139718435                0.000088674             VM
757          2           0.000001828          0.390610000                0.000242184             FX
1           1            0.000001277        0.247150723                0.000156858             VM
38           1            0.000000929        0.179750888                0.000114081             VM
735           1            0.000000931        0.180215661                0.000114376             VM
26           1            0.000000861        0.166701750                0.000105800             VM
759          2           0.000001854          0.397000000                0.000246048             FX
24           1            0.000000974        0.188439024                0.000119596             VM
37           1            0.000000858        0.166041582                0.000105381             VM
856           1            0.000001707        0.330309764                0.000209636             VM
752           1            0.000002446        0.473330174                0.000300406             VM
28           1            0.000000882        0.170767054                0.000108380             VM
806           1            0.000001739        0.336595031                0.000213625             VM
736           1            0.000001862        0.360315280                0.000228679             VM
855           1            0.000001685        0.326187472                0.000207020             VM
733           1            0.000000791        0.153161547                0.000097206             VM
854           1            0.000001747        0.338139296                0.000214605             VM
738           1            0.000002228        0.431291472                0.000273725             VM
756           1            0.000001855        0.358960902                0.000227820             VM
760           1            0.000001766        0.341794658                0.000216925             VM
39           1            0.000000843        0.163083854                0.000103503             VM
805           1            0.000001673        0.323702307                0.000205442             VM
36           1            0.000000874        0.169237450                0.000107409             VM
803           1            0.000001619        0.313402117                0.000198905             VM
755          3           0.000002969          0.332280000                0.000248448             FX
33           1            0.000000702        0.135818692                0.000086199             VM
802          3           0.000002383          0.261950000                0.000197131             FX
731           1            0.000000874        0.169187522                0.000107377             VM
804           1            0.000001688        0.326675361                0.000207329             VM
754           1            0.000001852        0.358489858                0.000227521             VM
751          2           0.000001980          0.427190000                0.000264303             FX
853           1            0.000001694        0.327873909                0.000208090             VM
753          3           0.000003040          0.340800000                0.000254664             FX
2           1            0.000000820        0.158642960                0.000100685             VM
737          3           0.000002340          0.256800000                0.000193374             FX
852           1            0.000001652        0.319766681                0.000202944             VM
758           1            0.000001660        0.321289378                0.000203911             VM
2524           1            0.000094333        18.256817828                0.011586949             VM
2515           1            0.000094455        18.280366722                0.011601895             VM
2525           1            0.000094312        18.252850011                0.011584431             VM
2503           1            0.000093832        18.159898889                0.011525438             VM
2521           1            0.000094337        18.257633916                0.011587467             VM
2520           1            0.000094324        18.255152082                0.011585892             VM
2519           1            0.000094290        18.248594766                0.011581730             VM
2522           1            0.000094309        18.252210345                0.011584025             VM
2523           1            0.000094276        18.245813685                0.011579965             VM
2512           1            0.000094758        18.339060043                0.011639145             VM
2505           1            0.000096417        18.660156928                0.011842934             VM
2506           1            0.000095294        18.442902816                0.011705050             VM
2509           1            0.000095319        18.447611834                0.011708039             VM
2526           1            0.000094393        18.268397267                0.011594298             VM
2527           1            0.000094312        18.252733379                0.011584357             VM
2507           1            0.000095373        18.458118528                0.011714707             VM
2510           1            0.000094846        18.356135553                0.011649982             VM
2514           1            0.000095072        18.399755401                0.011677666             VM
2517           1            0.000094395        18.268789995                0.011594547             VM
2513           1            0.000094760        18.339449919                0.011639392             VM
2518           1            0.000094339        18.257887963                0.011587628             VM
2504           1            0.000096395        18.655903588                0.011840234             VM
2508           1            0.000095188        18.422206525                0.011691915             VM
2516           1            0.000094907        18.367960947                0.011657487             VM
2511           1            0.000095597        18.501520001                0.011742253             VM
2528          2           0.000007701          1.800170000                0.001094483             FX
========================================================================
025_T76_C5_D220_VM3.txt	 6	 0.300467695624696	 189.636458	 0.002449	 473.265049
<task_id>	 <FX/VM id>	    <Custo_fin>	      <Tempo_workflow>	          <Custo_normalizado>
29           1            0.000000787        0.152233296                0.000096617             VM
733           1            0.000000791        0.153161547                0.000097206             VM
732           1            0.000000773        0.149535798                0.000094905             VM
734           1            0.000000852        0.164844208                0.000104621             VM
2           1            0.000000820        0.158642960                0.000100685             VM
34           1            0.000000815        0.157794215                0.000100146             VM
23           1            0.000000970        0.187671500                0.000119108             VM
27           1            0.000000767        0.148405605                0.000094188             VM
854           1            0.000001747        0.338139296                0.000214605             VM
740          3           0.000002532          0.279800000                0.000210156             FX
855           1            0.000001685        0.326187472                0.000207020             VM
33           1            0.000000702        0.135818692                0.000086199             VM
30           1            0.000000722        0.139718435                0.000088674             VM
35           1            0.000001092        0.211276764                0.000134090             VM
28           1            0.000000882        0.170767054                0.000108380             VM
1           1            0.000001277        0.247150723                0.000156858             VM
38           1            0.000000929        0.179750888                0.000114081             VM
755          3           0.000002969          0.332280000                0.000248448             FX
736           1            0.000001862        0.360315280                0.000228679             VM
24           1            0.000000974        0.188439024                0.000119596             VM
760           1            0.000001766        0.341794658                0.000216925             VM
751          2           0.000001980          0.427190000                0.000264303             FX
731           1            0.000000874        0.169187522                0.000107377             VM
26           1            0.000000861        0.166701750                0.000105800             VM
25           1            0.000000784        0.151659194                0.000096253             VM
10           1            0.000000747        0.144657770                0.000091809             VM
9           1            0.000000901        0.174316137                0.000110632             VM
753          3           0.000003040          0.340800000                0.000254664             FX
754           1            0.000001852        0.358489858                0.000227521             VM
36           1            0.000000874        0.169237450                0.000107409             VM
40           1            0.000000755        0.146165224                0.000092766             VM
804           1            0.000001688        0.326675361                0.000207329             VM
752           1            0.000002446        0.473330174                0.000300406             VM
756           1            0.000001855        0.358960902                0.000227820             VM
735           1            0.000000931        0.180215661                0.000114376             VM
856           1            0.000001707        0.330309764                0.000209636             VM
759          2           0.000001854          0.397000000                0.000246048             FX
757          2           0.000001828          0.390610000                0.000242184             FX
806           1            0.000001739        0.336595031                0.000213625             VM
758           1            0.000001660        0.321289378                0.000203911             VM
37           1            0.000000858        0.166041582                0.000105381             VM
739           1            0.000001891        0.365919972                0.000232236             VM
803           1            0.000001619        0.313402117                0.000198905             VM
737          3           0.000002340          0.256800000                0.000193374             FX
738           1            0.000002228        0.431291472                0.000273725             VM
852           1            0.000001652        0.319766681                0.000202944             VM
39           1            0.000000843        0.163083854                0.000103503             VM
802          3           0.000002383          0.261950000                0.000197131             FX
853           1            0.000001694        0.327873909                0.000208090             VM
805           1            0.000001673        0.323702307                0.000205442             VM
2509           1            0.000095319        18.447611834                0.011708039             VM
2510           1            0.000094846        18.356135553                0.011649982             VM
2515           1            0.000094455        18.280366722                0.011601895             VM
2513           1            0.000094760        18.339449919                0.011639392             VM
2525           1            0.000094312        18.252850011                0.011584431             VM
2511           1            0.000095597        18.501520001                0.011742253             VM
2527           1            0.000094312        18.252733379                0.011584357             VM
2520           1            0.000094324        18.255152082                0.011585892             VM
2522           1            0.000094309        18.252210345                0.011584025             VM
2524           1            0.000094333        18.256817828                0.011586949             VM
2506           1            0.000095294        18.442902816                0.011705050             VM
2517           1            0.000094395        18.268789995                0.011594547             VM
2514           1            0.000095072        18.399755401                0.011677666             VM
2518           1            0.000094339        18.257887963                0.011587628             VM
2526           1            0.000094393        18.268397267                0.011594298             VM
2519           1            0.000094290        18.248594766                0.011581730             VM
2508           1            0.000095188        18.422206525                0.011691915             VM
2523           1            0.000094276        18.245813685                0.011579965             VM
2512           1            0.000094758        18.339060043                0.011639145             VM
2507           1            0.000095373        18.458118528                0.011714707             VM
2504           1            0.000096395        18.655903588                0.011840234             VM
2505           1            0.000096417        18.660156928                0.011842934             VM
2521           1            0.000094337        18.257633916                0.011587467             VM
2516           1            0.000094907        18.367960947                0.011657487             VM
2503           1            0.000093832        18.159898889                0.011525438             VM
2528          2           0.000007701          1.800170000                0.001094483             FX
========================================================================
025_T76_C5_D220_VM3.txt	 7	 0.300467695624696	 190.543635	 0.002449	 473.265049
<task_id>	 <FX/VM id>	    <Custo_fin>	      <Tempo_workflow>	          <Custo_normalizado>
23           1            0.000000970        0.187671500                0.000119108             VM
40           1            0.000000755        0.146165224                0.000092766             VM
37           1            0.000000858        0.166041582                0.000105381             VM
735           1            0.000000931        0.180215661                0.000114376             VM
733           1            0.000000791        0.153161547                0.000097206             VM
803           1            0.000001619        0.313402117                0.000198905             VM
30           1            0.000000722        0.139718435                0.000088674             VM
1           1            0.000001277        0.247150723                0.000156858             VM
732           1            0.000000773        0.149535798                0.000094905             VM
24           1            0.000000974        0.188439024                0.000119596             VM
26           1            0.000000861        0.166701750                0.000105800             VM
736           1            0.000001862        0.360315280                0.000228679             VM
25           1            0.000000784        0.151659194                0.000096253             VM
856           1            0.000001707        0.330309764                0.000209636             VM
34           1            0.000000815        0.157794215                0.000100146             VM
853           1            0.000001694        0.327873909                0.000208090             VM
731           1            0.000000874        0.169187522                0.000107377             VM
35           1            0.000001092        0.211276764                0.000134090             VM
36           1            0.000000874        0.169237450                0.000107409             VM
2           1            0.000000820        0.158642960                0.000100685             VM
751          2           0.000001980          0.427190000                0.000264303             FX
734           1            0.000000852        0.164844208                0.000104621             VM
753          3           0.000003040          0.340800000                0.000254664             FX
29           1            0.000000787        0.152233296                0.000096617             VM
28           1            0.000000882        0.170767054                0.000108380             VM
10           1            0.000000747        0.144657770                0.000091809             VM
737          3           0.000002340          0.256800000                0.000193374             FX
855           1            0.000001685        0.326187472                0.000207020             VM
752           1            0.000002446        0.473330174                0.000300406             VM
802          3           0.000002383          0.261950000                0.000197131             FX
27           1            0.000000767        0.148405605                0.000094188             VM
755          3           0.000002969          0.332280000                0.000248448             FX
806           1            0.000001739        0.336595031                0.000213625             VM
33           1            0.000000702        0.135818692                0.000086199             VM
739           1            0.000001891        0.365919972                0.000232236             VM
39           1            0.000000843        0.163083854                0.000103503             VM
759          2           0.000001854          0.397000000                0.000246048             FX
740          3           0.000002532          0.279800000                0.000210156             FX
760           1            0.000001766        0.341794658                0.000216925             VM
854           1            0.000001747        0.338139296                0.000214605             VM
757          2           0.000001828          0.390610000                0.000242184             FX
9           1            0.000000901        0.174316137                0.000110632             VM
852           1            0.000001652        0.319766681                0.000202944             VM
805           1            0.000001673        0.323702307                0.000205442             VM
38           1            0.000000929        0.179750888                0.000114081             VM
738           1            0.000002228        0.431291472                0.000273725             VM
756           1            0.000001855        0.358960902                0.000227820             VM
754           1            0.000001852        0.358489858                0.000227521             VM
758           1            0.000001660        0.321289378                0.000203911             VM
804           1            0.000001688        0.326675361                0.000207329             VM
2515           1            0.000094455        18.280366722                0.011601895             VM
2504           1            0.000096395        18.655903588                0.011840234             VM
2508           1            0.000095188        18.422206525                0.011691915             VM
2524           1            0.000094333        18.256817828                0.011586949             VM
2514           1            0.000095072        18.399755401                0.011677666             VM
2512           1            0.000094758        18.339060043                0.011639145             VM
2516           1            0.000094907        18.367960947                0.011657487             VM
2527           1            0.000094312        18.252733379                0.011584357             VM
2525           1            0.000094312        18.252850011                0.011584431             VM
2505           1            0.000096417        18.660156928                0.011842934             VM
2526           1            0.000094393        18.268397267                0.011594298             VM
2521           1            0.000094337        18.257633916                0.011587467             VM
2506           1            0.000095294        18.442902816                0.011705050             VM
