<Instância> 	 <Semente> 	 <Melhor_Custo> 	 <Tempo_CPU>	 <Custo_Financeiro> 	 <Tempo_Workflow>
740          3           0.000002798          0.311720000                0.000357212             FX
752           1            0.000002246        0.434589735                0.000425034             VM
34           1            0.000000722        0.139722362                0.000136650             VM
25           1            0.000000838        0.162099279                0.000158535             VM
737          2           0.000001543          0.322320000                0.000309834             FX
738           1            0.000002057        0.398032275                0.000389280             VM
735           1            0.000002063        0.399322512                0.000390542             VM
751           1            0.000001879        0.363628761                0.000355633             VM
754           1            0.000001782        0.344856285                0.000337273             VM
35           1            0.000001057        0.204569428                0.000200071             VM
755           1            0.000001631        0.315651959                0.000308711             VM
777           1            0.000078163        15.127251558                0.014794626             VM
772           1            0.000078772        15.245269385                0.014910049             VM
780           1            0.000078211        15.136565728                0.014803735             VM
761           1            0.000077799        15.056825420                0.014725748             VM
768           1            0.000078631        15.217891893                0.014883273             VM
771           1            0.000078516        15.195752095                0.014861620             VM
773           1            0.000078236        15.141396104                0.014808459             VM
775           1            0.000078260        15.146216174                0.014813174             VM
778           1            0.000078192        15.132952172                0.014800201             VM
776           1            0.000078174        15.129485440                0.014796811             VM
770           1            0.000078539        15.200101198                0.014865874             VM
767           1            0.000078990        15.287443190                0.014951295             VM
769           1            0.000079151        15.318610291                0.014981777             VM
762           1            0.000079842        15.452310708                0.015112538             VM
766           1            0.000078878        15.265720109                0.014930050             VM
779           1            0.000078162        15.127117497                0.014794495             VM
764           1            0.000078991        15.287627741                0.014951476             VM
765           1            0.000079061        15.301079576                0.014964632             VM
763           1            0.000079852        15.454286812                0.015114470             VM
774           1            0.000078644        15.220412060                0.014885738             VM
781          3           0.000009884          1.162040000                0.001307566             FX
========================================================================
020_T61_C5_D180_VM3.txt	 3	 0.308903795852888	 43.238723	 0.001636	 315.585811
<task_id>	 <FX/VM id>	    <Custo_fin>	      <Tempo_workflow>	          <Custo_normalizado>
35           1            0.000001057        0.204569428                0.000200071             VM
28           1            0.000000928        0.179656702                0.000175706             VM
29           1            0.000000775        0.150075050                0.000146775             VM
36           1            0.000000850        0.164471600                0.000160855             VM
23           1            0.000001028        0.199015014                0.000194639             VM
751           1            0.000001879        0.363628761                0.000355633             VM
37           1            0.000000774        0.149865527                0.000146570             VM
2           1            0.000000840        0.162599550                0.000159024             VM
24           1            0.000000946        0.183074302                0.000179049             VM
39           1            0.000000765        0.148093796                0.000144837             VM
9           1            0.000000847        0.163889115                0.000160285             VM
25           1            0.000000838        0.162099279                0.000158535             VM
732          2           0.000001396          0.286970000                0.000276821             FX
755           1            0.000001631        0.315651959                0.000308711             VM
736           1            0.000002091        0.404765086                0.000395865             VM
756           1            0.000001487        0.287761732                0.000281434             VM
740          3           0.000002798          0.311720000                0.000357212             FX
759           1            0.000001601        0.309845956                0.000303033             VM
735           1            0.000002063        0.399322512                0.000390542             VM
10           1            0.000000712        0.137831658                0.000134801             VM
734          3           0.000002530          0.279650000                0.000321369             FX
1           1            0.000001282        0.248133167                0.000242677             VM
26           1            0.000000857        0.165774424                0.000162129             VM
34           1            0.000000722        0.139722362                0.000136650             VM
40           1            0.000000746        0.144288492                0.000141116             VM
733          2           0.000001487          0.308950000                0.000297348             FX
737          2           0.000001543          0.322320000                0.000309834             FX
760           1            0.000001570        0.303935816                0.000297253             VM
754           1            0.000001782        0.344856285                0.000337273             VM
27           1            0.000000776        0.150149117                0.000146848             VM
30           1            0.000000716        0.138571231                0.000135524             VM
752           1            0.000002246        0.434589735                0.000425034             VM
38           1            0.000000910        0.176110816                0.000172238             VM
739           1            0.000001853        0.358684842                0.000350798             VM
731           1            0.000001725        0.333796534                0.000326457             VM
757           1            0.000001571        0.304126641                0.000297439             VM
738           1            0.000002057        0.398032275                0.000389280             VM
758           1            0.000001511        0.292452063                0.000286021             VM
33           1            0.000000792        0.153190398                0.000149822             VM
753           1            0.000001536        0.297214897                0.000290680             VM
763           1            0.000079852        15.454286812                0.015114470             VM
772           1            0.000078772        15.245269385                0.014910049             VM
777           1            0.000078163        15.127251558                0.014794626             VM
761           1            0.000077799        15.056825420                0.014725748             VM
779           1            0.000078162        15.127117497                0.014794495             VM
780           1            0.000078211        15.136565728                0.014803735             VM
774           1            0.000078644        15.220412060                0.014885738             VM
767           1            0.000078990        15.287443190                0.014951295             VM
776           1            0.000078174        15.129485440                0.014796811             VM
771           1            0.000078516        15.195752095                0.014861620             VM
775           1            0.000078260        15.146216174                0.014813174             VM
766           1            0.000078878        15.265720109                0.014930050             VM
768           1            0.000078631        15.217891893                0.014883273             VM
773           1            0.000078236        15.141396104                0.014808459             VM
778           1            0.000078192        15.132952172                0.014800201             VM
769           1            0.000079151        15.318610291                0.014981777             VM
765           1            0.000079061        15.301079576                0.014964632             VM
764           1            0.000078991        15.287627741                0.014951476             VM
770           1            0.000078539        15.200101198                0.014865874             VM
762           1            0.000079842        15.452310708                0.015112538             VM
781          3           0.000009884          1.162040000                0.001307566             FX
========================================================================
020_T61_C5_D180_VM3.txt	 4	 0.308903795852888	 42.942734	 0.001636	 315.585811
<task_id>	 <FX/VM id>	    <Custo_fin>	      <Tempo_workflow>	          <Custo_normalizado>
1           1            0.000001282        0.248133167                0.000242677             VM
24           1            0.000000946        0.183074302                0.000179049             VM
30           1            0.000000716        0.138571231                0.000135524             VM
28           1            0.000000928        0.179656702                0.000175706             VM
731           1            0.000001725        0.333796534                0.000326457             VM
10           1            0.000000712        0.137831658                0.000134801             VM
23           1            0.000001028        0.199015014                0.000194639             VM
752           1            0.000002246        0.434589735                0.000425034             VM
40           1            0.000000746        0.144288492                0.000141116             VM
2           1            0.000000840        0.162599550                0.000159024             VM
37           1            0.000000774        0.149865527                0.000146570             VM
39           1            0.000000765        0.148093796                0.000144837             VM
732          2           0.000001396          0.286970000                0.000276821             FX
736           1            0.000002091        0.404765086                0.000395865             VM
27           1            0.000000776        0.150149117                0.000146848             VM
757           1            0.000001571        0.304126641                0.000297439             VM
25           1            0.000000838        0.162099279                0.000158535             VM
9           1            0.000000847        0.163889115                0.000160285             VM
737          2           0.000001543          0.322320000                0.000309834             FX
38           1            0.000000910        0.176110816                0.000172238             VM
760           1            0.000001570        0.303935816                0.000297253             VM
734          3           0.000002530          0.279650000                0.000321369             FX
34           1            0.000000722        0.139722362                0.000136650             VM
36           1            0.000000850        0.164471600                0.000160855             VM
26           1            0.000000857        0.165774424                0.000162129             VM
739           1            0.000001853        0.358684842                0.000350798             VM
735           1            0.000002063        0.399322512                0.000390542             VM
733          2           0.000001487          0.308950000                0.000297348             FX
29           1            0.000000775        0.150075050                0.000146775             VM
751           1            0.000001879        0.363628761                0.000355633             VM
738           1            0.000002057        0.398032275                0.000389280             VM
756           1            0.000001487        0.287761732                0.000281434             VM
758           1            0.000001511        0.292452063                0.000286021             VM
35           1            0.000001057        0.204569428                0.000200071             VM
755           1            0.000001631        0.315651959                0.000308711             VM
33           1            0.000000792        0.153190398                0.000149822             VM
753           1            0.000001536        0.297214897                0.000290680             VM
759           1            0.000001601        0.309845956                0.000303033             VM
754           1            0.000001782        0.344856285                0.000337273             VM
740          3           0.000002798          0.311720000                0.000357212             FX
769           1            0.000079151        15.318610291                0.014981777             VM
761           1            0.000077799        15.056825420                0.014725748             VM
780           1            0.000078211        15.136565728                0.014803735             VM
765           1            0.000079061        15.301079576                0.014964632             VM
772           1            0.000078772        15.245269385                0.014910049             VM
767           1            0.000078990        15.287443190                0.014951295             VM
766           1            0.000078878        15.265720109                0.014930050             VM
778           1            0.000078192        15.132952172                0.014800201             VM
773           1            0.000078236        15.141396104                0.014808459             VM
768           1            0.000078631        15.217891893                0.014883273             VM
775           1            0.000078260        15.146216174                0.014813174             VM
763           1            0.000079852        15.454286812                0.015114470             VM
777           1            0.000078163        15.127251558                0.014794626             VM
776           1            0.000078174        15.129485440                0.014796811             VM
762           1            0.000079842        15.452310708                0.015112538             VM
764           1            0.000078991        15.287627741                0.014951476             VM
779           1            0.000078162        15.127117497                0.014794495             VM
774           1            0.000078644        15.220412060                0.014885738             VM
770           1            0.000078539        15.200101198                0.014865874             VM
771           1            0.000078516        15.195752095                0.014861620             VM
781          3           0.000009884          1.162040000                0.001307566             FX
========================================================================
020_T61_C5_D180_VM3.txt	 5	 0.308903795852888	 42.665459	 0.001636	 315.585811
<task_id>	 <FX/VM id>	    <Custo_fin>	      <Tempo_workflow>	          <Custo_normalizado>
10           1            0.000000712        0.137831658                0.000134801             VM
734          3           0.000002530          0.279650000                0.000321369             FX
23           1            0.000001028        0.199015014                0.000194639             VM
39           1            0.000000765        0.148093796                0.000144837             VM
759           1            0.000001601        0.309845956                0.000303033             VM
27           1            0.000000776        0.150149117                0.000146848             VM
35           1            0.000001057        0.204569428                0.000200071             VM
38           1            0.000000910        0.176110816                0.000172238             VM
1           1            0.000001282        0.248133167                0.000242677             VM
758           1            0.000001511        0.292452063                0.000286021             VM
30           1            0.000000716        0.138571231                0.000135524             VM
2           1            0.000000840        0.162599550                0.000159024             VM
28           1            0.000000928        0.179656702                0.000175706             VM
34           1            0.000000722        0.139722362                0.000136650             VM
33           1            0.000000792        0.153190398                0.000149822             VM
29           1            0.000000775        0.150075050                0.000146775             VM
731           1            0.000001725        0.333796534                0.000326457             VM
25           1            0.000000838        0.162099279                0.000158535             VM
26           1            0.000000857        0.165774424                0.000162129             VM
754           1            0.000001782        0.344856285                0.000337273             VM
24           1            0.000000946        0.183074302                0.000179049             VM
739           1            0.000001853        0.358684842                0.000350798             VM
753           1            0.000001536        0.297214897                0.000290680             VM
737          2           0.000001543          0.322320000                0.000309834             FX
732          2           0.000001396          0.286970000                0.000276821             FX
751           1            0.000001879        0.363628761                0.000355633             VM
740          3           0.000002798          0.311720000                0.000357212             FX
755           1            0.000001631        0.315651959                0.000308711             VM
9           1            0.000000847        0.163889115                0.000160285             VM
736           1            0.000002091        0.404765086                0.000395865             VM
738           1            0.000002057        0.398032275                0.000389280             VM
735           1            0.000002063        0.399322512                0.000390542             VM
36           1            0.000000850        0.164471600                0.000160855             VM
756           1            0.000001487        0.287761732                0.000281434             VM
752           1            0.000002246        0.434589735                0.000425034             VM
733          2           0.000001487          0.308950000                0.000297348             FX
40           1            0.000000746        0.144288492                0.000141116             VM
760           1            0.000001570        0.303935816                0.000297253             VM
37           1            0.000000774        0.149865527                0.000146570             VM
757           1            0.000001571        0.304126641                0.000297439             VM
765           1            0.000079061        15.301079576                0.014964632             VM
775           1            0.000078260        15.146216174                0.014813174             VM
766           1            0.000078878        15.265720109                0.014930050             VM
762           1            0.000079842        15.452310708                0.015112538             VM
769           1            0.000079151        15.318610291                0.014981777             VM
776           1            0.000078174        15.129485440                0.014796811             VM
770           1            0.000078539        15.200101198                0.014865874             VM
779           1            0.000078162        15.127117497                0.014794495             VM
773           1            0.000078236        15.141396104                0.014808459             VM
774           1            0.000078644        15.220412060                0.014885738             VM
767           1            0.000078990        15.287443190                0.014951295             VM
778           1            0.000078192        15.132952172                0.014800201             VM
772           1            0.000078772        15.245269385                0.014910049             VM
761           1            0.000077799        15.056825420                0.014725748             VM
764           1            0.000078991        15.287627741                0.014951476             VM
777           1            0.000078163        15.127251558                0.014794626             VM
771           1            0.000078516        15.195752095                0.014861620             VM
780           1            0.000078211        15.136565728                0.014803735             VM
768           1            0.000078631        15.217891893                0.014883273             VM
763           1            0.000079852        15.454286812                0.015114470             VM
781          3           0.000009884          1.162040000                0.001307566             FX
========================================================================
020_T61_C5_D180_VM3.txt	 6	 0.308903795852888	 42.879941	 0.001636	 315.585811
<task_id>	 <FX/VM id>	    <Custo_fin>	      <Tempo_workflow>	          <Custo_normalizado>
10           1            0.000000712        0.137831658                0.000134801             VM
2           1            0.000000840        0.162599550                0.000159024             VM
732          2           0.000001396          0.286970000                0.000276821             FX
1           1            0.000001282        0.248133167                0.000242677             VM
38           1            0.000000910        0.176110816                0.000172238             VM
29           1            0.000000775        0.150075050                0.000146775             VM
30           1            0.000000716        0.138571231                0.000135524             VM
27           1            0.000000776        0.150149117                0.000146848             VM
25           1            0.000000838        0.162099279                0.000158535             VM
739           1            0.000001853        0.358684842                0.000350798             VM
9           1            0.000000847        0.163889115                0.000160285             VM
28           1            0.000000928        0.179656702                0.000175706             VM
26           1            0.000000857        0.165774424                0.000162129             VM
37           1            0.000000774        0.149865527                0.000146570             VM
733          2           0.000001487          0.308950000                0.000297348             FX
39           1            0.000000765        0.148093796                0.000144837             VM
40           1            0.000000746        0.144288492                0.000141116             VM
36           1            0.000000850        0.164471600                0.000160855             VM
737          2           0.000001543          0.322320000                0.000309834             FX
751           1            0.000001879        0.363628761                0.000355633             VM
734          3           0.000002530          0.279650000                0.000321369             FX
34           1            0.000000722        0.139722362                0.000136650             VM
758           1            0.000001511        0.292452063                0.000286021             VM
759           1            0.000001601        0.309845956                0.000303033             VM
35           1            0.000001057        0.204569428                0.000200071             VM
24           1            0.000000946        0.183074302                0.000179049             VM
736           1            0.000002091        0.404765086                0.000395865             VM
760           1            0.000001570        0.303935816                0.000297253             VM
731           1            0.000001725        0.333796534                0.000326457             VM
755           1            0.000001631        0.315651959                0.000308711             VM
756           1            0.000001487        0.287761732                0.000281434             VM
757           1            0.000001571        0.304126641                0.000297439             VM
754           1            0.000001782        0.344856285                0.000337273             VM
740          3           0.000002798          0.311720000                0.000357212             FX
23           1            0.000001028        0.199015014                0.000194639             VM
738           1            0.000002057        0.398032275                0.000389280             VM
735           1            0.000002063        0.399322512                0.000390542             VM
752           1            0.000002246        0.434589735                0.000425034             VM
33           1            0.000000792        0.153190398                0.000149822             VM
753           1            0.000001536        0.297214897                0.000290680             VM
777           1            0.000078163        15.127251558                0.014794626             VM
779           1            0.000078162        15.127117497                0.014794495             VM
773           1            0.000078236        15.141396104                0.014808459             VM
768           1            0.000078631        15.217891893                0.014883273             VM
775           1            0.000078260        15.146216174                0.014813174             VM
771           1            0.000078516        15.195752095                0.014861620             VM
767           1            0.000078990        15.287443190                0.014951295             VM
761           1            0.000077799        15.056825420                0.014725748             VM
774           1            0.000078644        15.220412060                0.014885738             VM
769           1            0.000079151        15.318610291                0.014981777             VM
770           1            0.000078539        15.200101198                0.014865874             VM
776           1            0.000078174        15.129485440                0.014796811             VM
780           1            0.000078211        15.136565728                0.014803735             VM
766           1            0.000078878        15.265720109                0.014930050             VM
765           1            0.000079061        15.301079576                0.014964632             VM
762           1            0.000079842        15.452310708                0.015112538             VM
778           1            0.000078192        15.132952172                0.014800201             VM
772           1            0.000078772        15.245269385                0.014910049             VM
764           1            0.000078991        15.287627741                0.014951476             VM
763           1            0.000079852        15.454286812                0.015114470             VM
781          3           0.000009884          1.162040000                0.001307566             FX
========================================================================
020_T61_C5_D180_VM3.txt	 7	 0.308903795852888	 43.083947	 0.001636	 315.585811
<task_id>	 <FX/VM id>	    <Custo_fin>	      <Tempo_workflow>	          <Custo_normalizado>
10           1            0.000000712        0.137831658                0.000134801             VM
24           1            0.000000946        0.183074302                0.000179049             VM
35           1            0.000001057        0.204569428                0.000200071             VM
33           1            0.000000792        0.153190398                0.000149822             VM
36           1            0.000000850        0.164471600                0.000160855             VM
734          3           0.000002530          0.279650000                0.000321369             FX
28           1            0.000000928        0.179656702                0.000175706             VM
27           1            0.000000776        0.150149117                0.000146848             VM
25           1            0.000000838        0.162099279                0.000158535             VM
34           1            0.000000722        0.139722362                0.000136650             VM
23           1            0.000001028        0.199015014                0.000194639             VM
739           1            0.000001853        0.358684842                0.000350798             VM
736           1            0.000002091        0.404765086                0.000395865             VM
737          2           0.000001543          0.322320000                0.000309834             FX
753           1            0.000001536        0.297214897                0.000290680             VM
754           1            0.000001782        0.344856285                0.000337273             VM
2           1            0.000000840        0.162599550                0.000159024             VM
732          2           0.000001396          0.286970000                0.000276821             FX
40           1            0.000000746        0.144288492                0.000141116             VM
760           1            0.000001570        0.303935816                0.000297253             VM
756           1            0.000001487        0.287761732                0.000281434             VM
39           1            0.000000765        0.148093796                0.000144837             VM
9           1            0.000000847        0.163889115                0.000160285             VM
26           1            0.000000857        0.165774424                0.000162129             VM
37           1            0.000000774        0.149865527                0.000146570             VM
759           1            0.000001601        0.309845956                0.000303033             VM
733          2           0.000001487          0.308950000                0.000297348             FX
1           1            0.000001282        0.248133167                0.000242677             VM
30           1            0.000000716        0.138571231                0.000135524             VM
38           1            0.000000910        0.176110816                0.000172238             VM
758           1            0.000001511        0.292452063                0.000286021             VM
731           1            0.000001725        0.333796534                0.000326457             VM
755           1            0.000001631        0.315651959                0.000308711             VM
757           1            0.000001571        0.304126641                0.000297439             VM
735           1            0.000002063        0.399322512                0.000390542             VM
740          3           0.000002798          0.311720000                0.000357212             FX
738           1            0.000002057        0.398032275                0.000389280             VM
29           1            0.000000775        0.150075050                0.000146775             VM
751           1            0.000001879        0.363628761                0.000355633             VM
752           1            0.000002246        0.434589735                0.000425034             VM
770           1            0.000078539        15.200101198                0.014865874             VM
773           1            0.000078236        15.141396104                0.014808459             VM
775           1            0.000078260        15.146216174                0.014813174             VM
771           1            0.000078516        15.195752095                0.014861620             VM
769           1            0.000079151        15.318610291                0.014981777             VM
779           1            0.000078162        15.127117497                0.014794495             VM
772           1            0.000078772        15.245269385                0.014910049             VM
776           1            0.000078174        15.129485440                0.014796811             VM
761           1            0.000077799        15.056825420                0.014725748             VM
777           1            0.000078163        15.127251558                0.014794626             VM
780           1            0.000078211        15.136565728                0.014803735             VM
766           1            0.000078878        15.265720109                0.014930050             VM
774           1            0.000078644        15.220412060                0.014885738             VM
765           1            0.000079061        15.301079576                0.014964632             VM
778           1            0.000078192        15.132952172                0.014800201             VM
762           1            0.000079842        15.452310708                0.015112538             VM
768           1            0.000078631        15.217891893                0.014883273             VM
767           1            0.000078990        15.287443190                0.014951295             VM
763           1            0.000079852        15.454286812                0.015114470             VM
764           1            0.000078991        15.287627741                0.014951476             VM
781          3           0.000009884          1.162040000                0.001307566             FX
========================================================================
020_T61_C5_D180_VM3.txt	 8	 0.308903795852888	 43.601476	 0.001636	 315.585811
<task_id>	 <FX/VM id>	    <Custo_fin>	      <Tempo_workflow>	          <Custo_normalizado>
25           1            0.000000838        0.162099279                0.000158535             VM
28           1            0.000000928        0.179656702                0.000175706             VM
740          3           0.000002798          0.311720000                0.000357212             FX
33           1            0.000000792        0.153190398                0.000149822             VM
40           1            0.000000746        0.144288492                0.000141116             VM
10           1            0.000000712        0.137831658                0.000134801             VM
23           1            0.000001028        0.199015014                0.000194639             VM
1           1            0.000001282        0.248133167                0.000242677             VM
37           1            0.000000774        0.149865527                0.000146570             VM
760           1            0.000001570        0.303935816                0.000297253             VM
734          3           0.000002530          0.279650000                0.000321369             FX
39           1            0.000000765        0.148093796                0.000144837             VM
753           1            0.000001536        0.297214897                0.000290680             VM
757           1            0.000001571        0.304126641                0.000297439             VM
27           1            0.000000776        0.150149117                0.000146848             VM
24           1            0.000000946        0.183074302                0.000179049             VM
29           1            0.000000775        0.150075050                0.000146775             VM
739           1            0.000001853        0.358684842                0.000350798             VM
2           1            0.000000840        0.162599550                0.000159024             VM
26           1            0.000000857        0.165774424                0.000162129             VM
737          2           0.000001543          0.322320000                0.000309834             FX
36           1            0.000000850        0.164471600                0.000160855             VM
731           1            0.000001725        0.333796534                0.000326457             VM
756           1            0.000001487        0.287761732                0.000281434             VM
35           1            0.000001057        0.204569428                0.000200071             VM
9           1            0.000000847        0.163889115                0.000160285             VM
733          2           0.000001487          0.308950000                0.000297348             FX
34           1            0.000000722        0.139722362                0.000136650             VM
30           1            0.000000716        0.138571231                0.000135524             VM
754           1            0.000001782        0.344856285                0.000337273             VM
38           1            0.000000910        0.176110816                0.000172238             VM
758           1            0.000001511        0.292452063                0.000286021             VM
736           1            0.000002091        0.404765086                0.000395865             VM
735           1            0.000002063        0.399322512                0.000390542             VM
738           1            0.000002057        0.398032275                0.000389280             VM
732          2           0.000001396          0.286970000                0.000276821             FX
755           1            0.000001631        0.315651959                0.000308711             VM
759           1            0.000001601        0.309845956                0.000303033             VM
752           1            0.000002246        0.434589735                0.000425034             VM
751           1            0.000001879        0.363628761                0.000355633             VM
775           1            0.000078260        15.146216174                0.014813174             VM
774           1            0.000078644        15.220412060                0.014885738             VM
779           1            0.000078162        15.127117497                0.014794495             VM
776           1            0.000078174        15.129485440                0.014796811             VM
777           1            0.000078163        15.127251558                0.014794626             VM
767           1            0.000078990        15.287443190                0.014951295             VM
761           1            0.000077799        15.056825420                0.014725748             VM
778           1            0.000078192        15.132952172                0.014800201             VM
768           1            0.000078631        15.217891893                0.014883273             VM
771           1            0.000078516        15.195752095                0.014861620             VM
772           1            0.000078772        15.245269385                0.014910049             VM
769           1            0.000079151        15.318610291                0.014981777             VM
780           1            0.000078211        15.136565728                0.014803735             VM
763           1            0.000079852        15.454286812                0.015114470             VM
770           1            0.000078539        15.200101198                0.014865874             VM
766           1            0.000078878        15.265720109                0.014930050             VM
764           1            0.000078991        15.287627741                0.014951476             VM
773           1            0.000078236        15.141396104                0.014808459             VM
762           1            0.000079842        15.452310708                0.015112538             VM
765           1            0.000079061        15.301079576                0.014964632             VM
781          3           0.000009884          1.162040000                0.001307566             FX
========================================================================
020_T61_C5_D180_VM3.txt	 9	 0.308903795852888	 42.912527	 0.001636	 315.585811
<task_id>	 <FX/VM id>	    <Custo_fin>	      <Tempo_workflow>	          <Custo_normalizado>
30           1            0.000000716        0.138571231                0.000135524             VM
2           1            0.000000840        0.162599550                0.000159024             VM
35           1            0.000001057        0.204569428                0.000200071             VM
33           1            0.000000792        0.153190398                0.000149822             VM
24           1            0.000000946        0.183074302                0.000179049             VM
26           1            0.000000857        0.165774424                0.000162129             VM
736           1            0.000002091        0.404765086                0.000395865             VM
23           1            0.000001028        0.199015014                0.000194639             VM
38           1            0.000000910        0.176110816                0.000172238             VM
9           1            0.000000847        0.163889115                0.000160285             VM
758           1            0.000001511        0.292452063                0.000286021             VM
36           1            0.000000850        0.164471600                0.000160855             VM
27           1            0.000000776        0.150149117                0.000146848             VM
29           1            0.000000775        0.150075050                0.000146775             VM
733          2           0.000001487          0.308950000                0.000297348             FX
755           1            0.000001631        0.315651959                0.000308711             VM
732          2           0.000001396          0.286970000                0.000276821             FX
28           1            0.000000928        0.179656702                0.000175706             VM
751           1            0.000001879        0.363628761                0.000355633             VM
753           1            0.000001536        0.297214897                0.000290680             VM
10           1            0.000000712        0.137831658                0.000134801             VM
739           1            0.000001853        0.358684842                0.000350798             VM
39           1            0.000000765        0.148093796                0.000144837             VM
759           1            0.000001601        0.309845956                0.000303033             VM
734          3           0.000002530          0.279650000                0.000321369             FX
37           1            0.000000774        0.149865527                0.000146570             VM
740          3           0.000002798          0.311720000                0.000357212             FX
738           1            0.000002057        0.398032275                0.000389280             VM
40           1            0.000000746        0.144288492                0.000141116             VM
